,id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,dataset_id,weight_kg,weight_class
19,2021-P,563,897.1378208439221,"Miller, Eugene",Butler,Pennsylvania,United States,Ohio Valley Giant Pumpkin Growers Weigh-off,532 House,2307 Wallace,334.34846193182585,961.4572082466998,1.0168517238500971,Cinderella,1,406.9345384322363,medium
20,2013-P,652,708.2537573582271,"Suchanek, Jim",ENUMCLAW,Washington,United States,Country Farm and Feed,1119.5 uhlmeyer,902.5 uhlmeyer,330.7629348993707,813.0125557112246,0.0,Wolf,1,321.25823830763295,medium
21,2014-P,1477,263.89740341220363,"Grande, James",Mulino,Oregon,United States,Baumans Farm Giant Pumpkin Weigh-off,Unknown,,221.2856789755749,263.8544104005258,0.0,Connecticut Field,1,119.70175100854827,light
23,2014-P,175,1294.9997379261472,"Ciliax, Carl",Emporium,Pennsylvania,United States,Grims Orchard and Family Farms,1744 Fulk,self,385.147789225636,1123.8684212297042,12.276136462223477,Dill's Atlantic,1,587.4015211253969,heavy
24,2013-P,693,650.6163771,"Raduazzo, Leonardo",Corazzano,Other,Italy,Festa della zucca di sale,1279 Bartoli,1420 Cutrupi,298.71244192444493,692.3502323969418,0.0,Cinderella,1,295.1143837215432,medium
25,2018-P,1489,269.3309054,"Bosworth, Brooks",Nampa,Idaho,United States,Elysian Giant Pumpkin Weigh-off,1792 Holland,1649.5 Uhlmeyer,232.7765101749879,297.6250103479985,,Wolf,1,122.1663440421968,light
26,2019-P,DMG,1285.8938864987924,"Carson, James and Kayla",Nobleboro,Maine,United States,Sanford Maine Giant Pumpkin Contest,1291.5,Open,388.0296911150001,1469.7081971309658,0.0,Spirit,1,583.2711797647603,heavy
28,2013-P,1246,292.6697320539382,"Wallace, Ron",Laveland,Colorado,United States,The Flower Bin,,,246.67984977285207,308.5850243073328,0.0,Autumn Gold,1,132.75264910180994,light
29,2015-P,97,1671.8640228951376,"Lindley, Jeremy",osceola,Wisconsin,United States,The Lodge at Leathem Smith,1947 Clementz,self,421.7064193571358,1642.6970271069224,5.902555515982137,Blue Hubbard,1,758.3441458730513,heavy
31,2015-P,775,853.7442242158664,"Adkins, Joe",Mulino,Oregon,United States,Baumans Farm Giant Pumpkin Weigh-off,1834 Daletas,self,346.0968963319043,893.6685045176968,0.0,Spirit,1,387.25155015052326,medium
32,2018-P,300,1487.4687119581386,"Bernstrom, Charlie",Santa Rosa,California,United States,Irvine Park Railroad,1937 Urena,1938 Pingry,394.9467633457977,1287.1957374475678,6.952929764375899,Autumn Gold,1,674.7039079945159,heavy
33,2017-P,96,1521.248057155659,"Barker, Breana",Beaverton,Oregon,United States,Baumans Farm Giant Pumpkin Weigh-off,1385 Howell/Jolivette,1586 Sherwood,383.4141863587263,1610.9059638102858,0.0,Rouge Vif d’Etampes,1,690.0259487413497,heavy
34,2017-P,1430,217.55016329159804,"rhoades, cynthia",Auburn,California,United States,Uesugi Farms Weigh-off,284.0 Masurat,Open,224.22851773025587,261.9557358336586,,Cinderella,1,98.67901366776253,light
35,2021-P,667,783.8157501752495,"Johnson, Jamie",Prudence Island,Rhode Island,United States,Vermont Growers Weigh-off,1625 Gansert,,329.1086343337253,903.177248357722,0.0,Blue Hubbard,1,355.53255375349175,medium
36,2015-P,439,1042.3722697920236,"Halverson, Travis",Boothbay,Maine,United States,Damariscotta Pumpkinfest and Regatta Weigh-off,2002 Hawkley,2032 Mathison,326.73583868568704,1063.230726965686,0.0,Big Max,1,472.8117225995036,heavy
37,2014-P,1579,174.0318634,"Sherwood, Jim",Independence,Oregon,United States,Canyonville Pumpkin Festival,,,200.64499821243288,206.0100338992127,0.0,Jack O'Lantern,1,78.9394609833328,light
40,2014-P,704,838.3834534950747,"Spaziani, Rick",Jackson,Michigan,United States,Central Great Lakes Weigh-off,1657.6 bryson,1789 wallace,0.0,0.0,0.0,Blue Hubbard,1,380.2840274377379,medium
43,2014-P,141,1425.4485341665995,"Campbell, John",Chippewa Falls,Wisconsin,United States,Nekoosa Giant Pumpkin Fest,,1392 Gehweiler,409.60569890986267,1378.249591971304,0.0,Wolf,1,646.5720515096962,heavy
44,2017-P,1108,477.2480136171303,"Hawkley, John",,Rhode Island,United States,SNGPG Frerichs Farm Weigh-off,161 Marshall,self,288.64640432560793,545.0237554128909,0.0,Dill's Atlantic,1,216.47588099262137,light
45,2014-P,EXH,1045.8458136120537,"Funk, Orin",Harrisville,Pennsylvania,United States,PGPGA Great Pumpkin Weigh-off,1623.5,1676.5 Da;etas,,999.19918771334,2.0329550398928595,Jack O'Lantern,1,474.3872942879187,heavy
47,2014-P,757,759.5260134483401,"Adkins, Joe",Shelton,Connecticut,United States,Woodstock Fair,1676.5 Daletas,220.3 DeBacco,318.2487166974263,694.2346548080048,7.848456394140979,Prizewinner,1,344.5149234920595,medium
48,2014-P,1050,604.8955392625732,"Hoomis, George",Spanish Fork,Utah,United States,Thanksgiving Point,1161 Rodonise,2009 Wallace,292.1082077533505,603.4986324743836,0.0,Connecticut Field,1,274.3757774451891,medium
49,2020-P,341,1231.7668176171233,"Gantner, Debbie",Cheshire,Massachusetts,United States,Topsfield Fair Weigh-off,2051 Marshall,1989 Daletas,399.5997863208305,1150.168128220973,9.184461428459157,Atlantic Giant,1,558.7195743365862,heavy
50,2016-P,204,1441.9682669269018,"Pace, Nathan",Westerville,Ohio,United States,Operation Pumpkin,1961 Sperry 15,2008 Neptune 14,376.3455156523132,1205.7113461626618,15.64778808556968,Early Giant,1,654.0652701319073,heavy
51,2020-P,344,1191.2754259167402,"Glasier, Pete and Cindi",LONDON,Ohio,United States,Ohio Valley Giant Pumpkin Growers Weigh-off,1810 Werner,1911 Urena,393.84865842831886,1280.4713300602202,0.0,Howden,1,540.353002992426,heavy
52,2014-P,EXH,228.88506768346707,"Booth, Jason",Menomonie,Wisconsin,United States,The Lodge at Leathem Smith,1531 Hunt,Open,,226.40994979082663,0.0,Prizewinner,1,103.82043562067919,light
53,2018-P,543,956.326917395426,"Slone, Dwight",buffalo,Minnesota,United States,Stillwater Harvestfest,673 Engel,self,362.4740338810488,1134.856966253665,0.0,Champion,1,433.78223911522605,medium
56,2015-P,1730,106.7799642842582,"Harnica, John",Barnesville,Ohio,United States,Oakland Nursery Weigh-off,,,235.72466776523427,259.4005169382534,0.0,Spirit,1,48.43453755962524,light
58,2020-P,545,955.5935150644796,"Auburn, Dan",Williston,Vermont,United States,Vermont Growers Weigh-off,1732.5 Boyce,990 Kruszyna,334.46047816430286,876.0383146811388,0.0,Blue Hubbard,1,433.4495736851274,medium
59,2017-P,556,935.2310707,"Companion, Kevin",Mobridge,South Dakota,United States,Southeast South Dakota Weigh-off,2261 Wallace,self,377.30045347199,1012.420397240364,0.0,Champion,1,424.2133318209544,medium
60,2016-P,51,1672.0924952294151,"Hook, Elaine",Lafayette,New York,United States,Ohio Valley Giant Pumpkin Growers Weigh-off,1916 Barron,,419.6870694961767,1425.4939368914331,15.703296955539605,Jack O'Lantern,1,758.4477790961008,heavy
61,2018-P,1488,250.10453702077731,"Brungard, Matt",Williamston,Michigan,United States,Red Barn Farms Giant Yooper Pumpkin Weighoff,382 Aikens,Self,219.10802646861896,267.0346994600229,0.0,Atlantic Giant,1,113.44541715632842,light
62,2014-P,1264,445.4970750441776,"Kaminski, John & Joy",Peosta,Iowa,United States,Ryan Norlin Giant Pumpkin Weigh-off,1317 Clements,Selfed,0.0,0.0,0.0,Spirit,1,202.07390926343862,light
65,2014-P,959,605.7188852069532,"Jaglarz, Mario",,Other,Austria,Austrian Weigh-off,934 Schieder,,285.8827170832146,642.9791624015543,3.1669953583811137,Atlantic Giant,1,274.74924057879235,medium
67,2014-P,285,1263.197230993964,"Cutrupi, Stefano",Novellara,Emilia-Romagna,Italy,Campionato dello Zuccone,1985 Miller,1625 Gantner,399.75782245654295,1274.8446255556662,0.0,Cinderella,1,572.9761584010141,heavy
68,2014-P,106,1478.725094779196,"Lehrer, Joe",Plainville,Connecticut,United States,Ridgefield Weigh-off,1676 Daletas,,402.4444412486919,1335.1156121797644,9.96049384008002,Rouge Vif d’Etampes,1,670.7378731910851,heavy
69,2021-P,241,1347.233854498051,"Welty, Nic",Fenton,Michigan,United States,Central Great Lakes Weigh-off,2095 Brandt,Self,398.56219455345735,1244.4546592824013,0.9724413355208584,Prizewinner,1,611.0944985294799,heavy
70,2017-P,331,1318.5740684211305,"Parker, Donna",West Paris,Maine,United States,Damariscotta Pumpkinfest and Regatta Weigh-off,1471 Morgan,1711.5 Lopresti,406.7449556958733,1360.8153041528867,0.0,Blue Hubbard,1,598.0946488432775,heavy
71,2014-P,1592,166.32119173931292,"TEAM ,Gantner/Bird",Napa,California,United States,Safeway World Championship Pumpkin Weigh-Off,,,0.0,0.0,0.0,Big Max,1,75.44196200341842,light
72,2019-P,1262,338.2224954495739,"Urena, Leonardo",West union,Ohio,United States,Oakland Nursery Weigh-off,Patterson,open,244.51061840372049,320.2644744,1.0248049164827482,Big Moose,1,153.4150181559631,light
73,2014-P,340,1166.465493388598,"Roy, Jeff",Abington Pomfret,Connecticut,United States,Durham Fair Weigh-Off,179.4 DeBacco,self,364.3623449393202,1058.1525414005505,7.789006392721395,Dill's Atlantic,1,529.0994160771208,heavy
74,2016-P,1178,522.3934396525916,Sacramento River Cats,Albany,Oregon,United States,Baumans Farm Giant Pumpkin Weigh-off,unknown,,289.4177032105996,506.84368973440365,0.0,Big Max,1,236.95348507889832,medium
76,2021-P,678,773.7841839775253,"Carlson, Nick",Kaukauna,Wisconsin,United States,Nekoosa Giant Pumpkin Fest,Martin 1059.5,Thompson 1428,335.36415238402174,807.1188232083422,0.0,Dill's Atlantic,1,350.9823155787337,medium
77,2019-P,1695,50.02095463603718,"Bradley, David",Santa Rosa,California,United States,Irvine Park Railroad,1172 Brinkley,Self,131.7345872158979,58.28189888,0.0,Connecticut Field,1,22.689104855269377,light
78,2015-P,1158,580.8903798827026,"Squires, Dick",,Colorado,United States,Nicks Garden Center Weigh-off,,,287.34351524834284,518.0958036000783,5.957222180446755,Rouge Vif d’Etampes,1,263.48722919175486,medium
79,2017-P,345,1355.154616574207,"Rodebaugh, Albert",Clearbrook,Minnesota,United States,Stillwater Harvestfest,,,423.3532832697359,1506.1673427137653,0.0,Atlantic Giant,1,614.6872928411277,heavy
80,2018-P,807,801.5123873133267,"Asta, Carmelo",,Other,Italy,Festa della zucca di sale,1333 garofano,767 louse,301.6987212087408,714.2094392832682,9.050548829797313,Blue Hubbard,1,363.5596067862265,medium
81,2019-P,923,544.5818361495029,"Kurkowski, Greg",,California,United States,California State Giant Pumpkin Weigh-off,,,0.0,0.0,0.0,Autumn Gold,1,247.01796422272534,medium
82,2021-P,EXH,793.3929364599167,"Caspers, Pete",Northern Cambria,Pennsylvania,United States,Ohio Valley Giant Pumpkin Growers Weigh-off,,,,721.3766436,4.947347515393275,Wolf,1,359.8766888347265,medium
83,2014-P,986,678.1695636,"Ratcliff, Kala",Little Valley,New York,United States,The Great Pumpkin Farm World Pumpkin Weigh-off,1548 Brownell,432 Wexler,302.7446530472853,,0.0,Spirit,1,307.61228869245116,medium
85,2019-P,505,952.3121994614958,"Rodriquez, Teresa",Rocky Hill,Connecticut,United States,Durham Fair Weigh-Off,805 Clevland (est),1947 Clementz,327.35398031883153,871.5668321794564,,Big Moose,1,431.9611951781388,medium
86,2017-P,739,828.1118741968926,"Kowalski, Keith",Erie,Pennsylvania,United States,PGPGA Great Pumpkin Weigh-off,1868 Sherwood,2261 Wallace,325.9228988620858,750.0153861705872,0.9642746030338356,Big Max,1,375.6249212407169,medium
87,2020-P,8,2219.670418936271,"Tenney, Valerie",,Oregon,United States,Safeway World Championship Pumpkin Weigh-Off,2624.6 Willemijns,2114 Wallace,481.4627048619656,2200.697317669301,2.9859581561545467,Dill's Atlantic,1,1006.824744666141,heavy
88,2015-P,1061,637.3954465158737,"Klowan, Russ",Poland,Ohio,United States,Oakland Nursery Weigh-off,1964 LIGGETT,1985 MILLER,303.5132264264216,638.6148965162674,0.0,Blue Hubbard,1,289.11747537602815,medium
89,2014-P,493,1046.0450654865044,"Shafer, Brad",Elk Grove Village,Illinois,United States,Siegels Cottonwood Farms,1135 Sliwka,open,368.9834253750629,1067.8706716163017,0.0,Prizewinner,1,474.47767334415454,heavy
91,2015-P,EXH,690.3825961140716,"Berard, Al",Grand Rapids,Michigan,United States,Harnica Farms Great Pumpkin Weigh-off,802 Kurilich,1865 Harnica,324.8886255138156,701.4636259239855,0.0,Blue Hubbard,1,313.15202253657395,medium
92,2019-P,838,639.1289608914988,"Martin, Glen and Margaret",Cumberland,Rhode Island,United States,Woodstock Fair,532 House,851 Gansert,294.80584012423583,592.7988582715567,12.51028663998996,Wolf,1,289.9037836286967,medium
93,2019-P,1627,101.4488301345216,"Moretti, Sergio",Foiano della Chiana,Tuscany,Italy,Pesa la Zucca! Foiano,,,145.77139404807758,92.38916702451915,10.03767038792524,Blue Hubbard,1,46.01637775837792,light
95,2019-P,1069,507.19857486852936,"Merriam, Walter",Frenchburg,Kentucky,United States,Roberts Family Farms,1989 Daletas,1971 Barlow,276.2163577137461,467.28953935505865,5.844315401610776,Casper,1,230.06121597176596,medium
96,2014-P,856,676.3687685386183,"Beal, Jim",enumclaw,Washington,United States,Country Farm and Feed,897 halbert,504 halbert,296.5694078181938,688.9961038928428,1.0070830158484678,Blue Hubbard,1,306.7954624589689,medium
97,2018-P,1588,165.8641401471026,"Yates, Dallas",Mulino,Oregon,United States,Terminator,1527 Tobeck,Self,185.70442697527537,160.8661921480577,7.177312901711458,Autumn Gold,1,75.23464705760456,light
98,2017-P,277,1331.7190231206205,"Haddix Wray,",,Utah,United States,Harvest Bash,1553.5 Weston,2261 Wallace,421.9374931,1409.164839,0.0,Autumn Gold,1,604.0570951353285,heavy
99,2021-P,1284,110.00173706920717,"Snyder, Jerry",Napa,California,United States,The Nut Tree World Championship Giant Pumpkin Weigh-off,,,233.80848434789607,335.4372794246035,0.0,Jack O'Lantern,1,49.89590792069582,light
100,2018-P,70,1671.6669760555862,"McRae, Benjamin",New Matamoras,Ohio,United States,Ohio Valley Giant Pumpkin Growers Weigh-off,2112 Skinner,,409.6120867424332,1797.128946,0.0,Early Giant,1,758.2547670030054,heavy
102,2014-P,1662,119.86128706550244,"Layfield, Steve",Salem,Ohio,United States,Oakland Nursery Weigh-off,149.5 James,Open,175.14759792893526,112.26463147031454,3.927075631911852,Wolf,1,54.36812092261538,light
105,2015-P,1395,355.11924210405306,"Bowman, Ross",Potter,Wisconsin,United States,Oktoberfest,760 Becker,854 Becker,236.5666432157872,374.1015250962069,0.0,Casper,1,161.07924726446163,light
107,2014-P,853,768.1651072068836,"Fulk, Paul and Cheryl",Kirksville,Missouri,United States,Republic Pumpkin Daze,,,0.0,0.0,0.0,Connecticut Field,1,348.43354730818476,medium
108,2019-P,477,1070.2398905151415,"Hansen, Pat",Elk Grove,California,United States,Irvine Park Railroad,780 Berndes,Self,388.0097572458695,1159.9730731382654,,Connecticut Field,1,485.45225241854405,heavy
109,2021-P,751,749.1614601423718,"Scobee, Eric",Napa,California,United States,Elk Grove Giant Pumpkin Festival,,,346.2314830691429,813.6113269015244,0.0,Connecticut Field,1,339.8136450288987,medium
110,2019-P,23,1868.0486447347312,"Oaks, Wendi",Johnston,Rhode Island,United States,Deerfield Fair,1928 Deletas,1911,438.3692394358253,1808.0813423491304,1.9823783329996056,Champion,1,847.3319208625162,heavy
111,2017-P,1483,176.74139027718508,"Gregori, Stefano",,Lombardy,Italy,Festa della zucca di sale,unknow,unknow,189.3497413984213,152.87183660520932,11.594942909510031,Cinderella,1,80.16848069860893,light
114,2021-P,103,1652.9129152913642,"Barker, Ron",Merrimack,New Hampshire,United States,Deerfield Fair,2394 Noel,,439.4095662158144,1690.927343676863,0.0,Casper,1,749.7480750728405,heavy
117,2013-P,571,800.4183444615499,"Page, Wesley",West Linn,Oregon,United States,Terminator,1778.5 Daletas,Open,319.9614417346708,,8.641630994886333,Connecticut Field,1,363.0633577010033,medium
118,2020-P,914,539.0661419844475,"Maggi, Rick",Huntington,Vermont,United States,Vermont Growers Weigh-off,666 Gansert,self,298.9982497648234,594.6640545,0.0,Casper,1,244.51608947500952,medium
119,2017-P,391,1171.341838729382,"Menting, Joe",Napa,California,United States,Elk Grove Giant Pumpkin Festival,2008 Neptune,1659 Miller,384.7239520591264,1205.0119560580758,0.0,Champion,1,531.3112873129379,heavy
120,2019-P,1516,188.2691790259287,"Roethle, Bill",,Colorado,United States,Fort Collins Nursery Weigh-off,,,201.90981234422125,187.8837901403209,0.0,Early Giant,1,85.39739345272905,light
121,2019-P,1476,199.07332899239915,"Jahn, Joe",Marysville,California,United States,Safeway World Championship Pumpkin Weigh-Off,,,0.0,0.0,,Blue Hubbard,1,90.29806944432032,light
122,2015-P,25,1932.457521342956,"Bischel, Mike",Richmond,Minnesota,United States,Stillwater Harvestfest,2096 Meier,2323 Meier,446.1276624513641,1744.465779012442,12.93930187624286,Champion,1,876.5472720209941,heavy
123,2018-P,1015,651.0403507001283,"Kruszyna, Daniel",Aptos,California,United States,Safeway World Championship Pumpkin Weigh-Off,377 Zunino,2002 Tobeck,327.1870098082068,832.3725802187347,0.0,Blue Hubbard,1,295.3066947547726,medium
128,2014-P,1235,452.2807058633171,"Rencher, Robert",Cornelius,Oregon,United States,Baumans Farm Giant Pumpkin Weigh-off,,,265.1974587480104,431.0700115817186,4.085862819514276,Big Moose,1,205.15090993395373,light
129,2016-P,1053,578.0788420555685,"Flores, Leslie",Barnesville,Ohio,United States,Operation Pumpkin,,,281.60791609536625,614.9128581590162,0.0,Blue Hubbard,1,262.21193812566946,medium
131,2021-P,780,621.7732485725137,"Hartman, Adam",Camano Island,Washington,United States,Baumans Farm Giant Pumpkin Weigh-off,1927.5 Daletas,Open,291.13340990525586,582.4252567350702,5.085785490194792,Wolf,1,282.0313713665036,medium
132,2018-P,403,1104.206145026711,"Mini, Ross",Westmoreland,Kansas,United States,Washington County Free Fair,2157 Paton,2109 Zywiec,371.6925594967996,1225.1458294299414,0.0,Spirit,1,500.8590737349559,heavy
133,2016-P,250,1384.0640735928473,"Steffler, Dj",Ballston Spa,New York,United States,The Great Pumpkin Farm World Pumpkin Weigh-off,1533 haist,1038 wolf,431.1773532767498,1402.4699962439738,,Spirit,1,627.8003912691267,heavy
134,2013-P,366,1009.5657775392236,"Lopresti, Charlie",Stanford,Kentucky,United States,Roberts Family Farms,1031.6 Slone,1220 Slone est,362.8893600537762,987.8864806535992,6.814553373809137,Prizewinner,1,457.93096016557155,heavy
137,2014-P,214,1373.9444917880917,"Hoornstra, Glen",Sherwood,Wisconsin,United States,Nekoosa Giant Pumpkin Fest,1985 Miller,Self,390.1315750096498,1301.246712535729,5.968410488049882,Big Max,1,623.2102299191441,heavy
140,2016-P,147,1531.4126460904845,"Edwards, Ron",Howell,Michigan,United States,Central Great Lakes Weigh-off,1269 Van Houtte,1483 Kurilich,456.5946369989583,1533.9505421100394,0.0,Champion,1,694.636524965475,heavy
141,2017-P,1190,392.0805972247969,"Spreafico, Luca",Dogliani,Piedmont,Italy,Sfida degli Zucconi della Brianza,"1111,5 Berard","1297,5 Young",254.41705877209844,409.6423160433606,1.033590674646952,Early Giant,1,177.84462225639007,light
142,2018-P,691,831.4073023854617,"Rodler, Bernd",,Lower Austria,Austria,Europameisterschaft im Kurbiswiegen,2269 Paton,2145 McMullen,327.5239088821761,931.9677401156434,0.0,Blue Hubbard,1,377.1197011036263,medium
144,2013-P,828,579.6020203522468,"Larson, Richard",Hartford City,Indiana,United States,Siegels Cottonwood Farms,1303 Sweet,sibb,297.2194645504856,643.0611822094771,0.0,Blue Hubbard,1,262.9028396156163,medium
145,2013-P,376,893.4187317632698,"Berndes, Jon",Swampscott,Massachusetts,United States,Sanford Maine Giant Pumpkin Contest,1579 Wallace,1495 Daletas,358.2530680518824,1054.1843337126886,0.0,Connecticut Field,1,405.247589377965,medium
146,2014-P,939,677.3077983962914,"Brungard, Matt",Spring Valley,Wisconsin,United States,Mishicot Pumpkin Fest,220 Debacco,1290 Poirer,317.84180176049824,711.4535760703625,0.0,Atlantic Giant,1,307.22139889017063,medium
147,2014-P,1691,81.76565939403959,"Akkerman, John & Brian",Harpswell,Maine,United States,Journee de la Citrouille - Edmundston,,,135.13824405872128,83.31756541618442,3.057988244227885,Big Moose,1,37.088248975861205,light
148,2014-P,669,815.0574277581026,"Fink, Coleen",,Colorado,United States,Nicks Garden Center Weigh-off,1730 Werner,self,340.9058945609605,945.5352365855836,0.0,Spirit,1,369.7035287716532,medium
149,2019-P,1096,497.8597068904943,"Orr, Glenn",St. Cloud,Wisconsin,United States,Nekoosa Giant Pumpkin Fest,1944 Vander Wielen,1501 Vander Wielen,264.21984851036126,438.8520592424917,6.005640422,Big Max,1,225.82518016787307,light
155,2016-P,527,947.53161682541,"Fleser, Dan",Brockway,Pennsylvania,United States,PGPGA Great Pumpkin Weigh-off,1524 Fulk,Sib,,972.809244116422,3.958387571429066,Autumn Gold,1,429.79276113907133,medium
157,2017-P,806,722.4129304343928,"Kearns, Kevin",Germantown,Wisconsin,United States,Nekoosa Giant Pumpkin Fest,Barlow,Martin,319.9419396312721,828.3395856270752,0.0,Champion,1,327.68072594159713,medium
158,2016-P,81,1628.396999404955,"Ritter, Leif",Yuba City,California,United States,Safeway World Championship Pumpkin Weigh-Off,1625.5 Gantner,1970 Globus,389.6439601862543,1365.942071525477,25.484914458931407,Rouge Vif d’Etampes,1,738.6278517540924,heavy
162,2017-P,428,1100.013089869751,"Kristensen, Gary",Castro Valley,California,United States,Safeway World Championship Pumpkin Weigh-Off,2002 Hawkley,1258 Westervelt,379.9984556423152,1189.2643865315574,0.0,Casper,1,498.95713746020004,heavy
164,2014-P,1319,397.0094044184104,"Mounce, Dylan",Durham,Connecticut,United States,Woodstock Fair,1131 Gansert,open,257.7108781838149,,0.0,Atlantic Giant,1,180.0802897689556,light
165,2013-P,791,637.0390615167406,"Gienger, Travis",Glenoma,Washington,United States,Baumans Farm Giant Pumpkin Weigh-off,890 Welton,Self,318.59845400780523,668.9152978380184,0.0,Blue Hubbard,1,288.9558219915014,medium
168,2014-P,328,1212.5429275642684,"Smith, Roger & Kristy",Salem,Connecticut,United States,Durham Fair Weigh-Off,2009 Wallace,1674 Daletas,414.4537703787033,1274.993327886784,0.0,Cinderella,1,549.9997715997316,heavy
170,2020-P,220,1470.0536547786503,"Prochaska, Jacob",,Colorado,United States,Jareds Giant Pumpkin Weigh-off and Festival,1238 Sawtelle,2118 Barron,415.9653753101079,1397.9237929489796,5.587918807647223,Big Moose,1,666.8045773783575,heavy
171,2018-P,668,925.4908972451714,"Czwalga, Tom and Donna",Stoughton,Wisconsin,United States,Nekoosa Giant Pumpkin Fest,,,342.6556088504911,867.9274487179713,0.9643963529217088,Jack O'Lantern,1,419.7952670632318,medium
172,2015-P,418,1198.1767411807723,"Kmetko, Paul",Bloomington,Indiana,United States,Fair Oaks Farm Cowtoberfest,1700.5 Werner,1526 Menting,380.0681260976076,1175.7379780014728,6.023763570789071,Champion,1,543.4833843856688,heavy
176,2020-P,516,1108.6124228032804,"Miele, Cathy",Ottumwa,Iowa,United States,Ryan Norlin Giant Pumpkin Weigh-off,,1742 Wolf,372.0025301123615,980.5882850293548,6.824292490732638,Blue Hubbard,1,502.8577260841856,heavy
177,2016-P,EXH,554.9268929058604,"Burdett, Richard",Centralia,Washington,United States,Elysian Giant Pumpkin Weigh-off,2102 Meier,2323 Meier,291.2660209079264,589.0750994221379,0.0,Howden,1,251.71039920695503,medium
179,2020-P,EXH,471.5888025004434,"Barrett, Ken",Hartville,Ohio,United States,Ohio Valley Giant Pumpkin Growers Weigh-off,2363 Holland,Open,282.95707524143563,,0.0,Howden,1,213.90890810378113,light
181,2018-P,1490,233.23826760178608,"Bordson, Brant",North Tonawanda,New York,United States,The Great Pumpkin Farm World Pumpkin Weigh-off,575 Wolf,Open,204.1222196954552,215.13615580921257,8.951952480340628,Cinderella,1,105.79501227802935,light
182,2015-P,EXH,852.2211511029552,"Sperry, Steve",Holly,Michigan,United States,Central Great Lakes Weigh-off,,,326.01677499573213,791.8603891858814,1.9850507588650173,Prizewinner,1,386.56069637109164,medium
