,id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,dataset_id,weight_kg,weight_class
224,2021-P,307,1217.677534692555,"Chiti, Davide",Rimini,Emilia-Romagna,Italy,Campionato dello Zuccone,2294 Noel,Self,371.774954177725,1107.6744301599376,3.980689415811393,Early Giant,1,552.3287883162653,heavy
264,2016-P,EXH,352.5370616848988,"Tranfaglia, Az. Agr. Valdichiana Funghi",Terricciola,Tuscany,Italy,Campionato dello Zuccone,,,252.01591457125252,,0.0,Spirit,1,159.90799088377662,light
277,2017-P,629,892.0866029476684,"Zucconi, Club degli",Arezzo,Other,Italy,Pesa la Zucca! Foiano,,,365.60639630742486,1078.6915484209585,0.0,Connecticut Field,1,404.6433464042388,medium
286,2013-P,EXH,509.1849758329658,"Joebstl, Horst",Gr. Gerungs,Lower Austria,Austria,Austrian Weigh-off,,,0.0,0.0,0.0,Big Max,1,230.96223155802662,medium
287,2013-P,1193,306.49663721826323,"Felappi, Lorenzo",Marone,Other,Italy,Campionato dello Zuccone,899 Cutrupi,Open,0.0,0.0,0.0,Spirit,1,139.02442266910646,light
288,2013-P,EXH,529.0422651026762,"Gartenbauschule Langenlois, Team Schaugarten",,Other,Austria,Austrian Weigh-off,,,0.0,0.0,0.0,Prizewinner,1,239.9693391124531,medium
306,2015-P,1288,425.6051528850491,"BalestriBina, Marroni Nazzaeno",,Other,Italy,Festa della zucca di sale,,,251.43421052354944,387.1543679581943,8.31119779257412,Wolf,1,193.0510925074352,light
336,2020-P,213,1398.8141617636022,"Puehringer, Beate",Walpersbach,Lower Austria,Austria,Retzer Land Weigh-off,1527 Melka,1594 Melka,420.4172814589574,1403.2452337411514,0.0,Casper,1,634.4909132626758,heavy
364,2013-P,1198,303.9477827665359,"Spreafico, Luca",Siena,Other,Italy,Pesa la Zucca! Foiano,,,229.2372616171928,303.01888234469453,3.086092761630945,Spirit,1,137.86828268063854,light
372,2021-P,372,1115.127483277926,"Melka, Friedrich",Riederberg,Lower Austria,Austria,Retzer Land Weigh-off,1819 Mendi 19,1225.8 Kurzreiter 20,383.2733793307489,1286.2651636416138,0.0,Early Giant,1,505.81290539500105,heavy
409,2018-P,EXH,350.2650921212086,"Melka, Friedrich",St. Michael,Carinthia,Austria,Austrian Weigh-off,368 Joebstl,,0.0,0.0,0.0,Atlantic Giant,1,158.87744366544325,light
426,2021-P,570,901.5168241458122,"Asta, Carmelo",,Lombardy,Italy,Sfida degli Zucconi della Brianza,2416 Haist,2183 Mendi,325.0361041587835,,12.154220478881586,Cinderella,1,408.9208192979472,medium
432,2016-P,DMG,679.5460099225489,"Bartoli, Fabio e Gabriele",Terricciola,Tuscany,Italy,Campionato dello Zuccone,,,305.2864400212465,668.6377538730363,0.0,Big Moose,1,308.2366337327888,medium
445,2018-P,EXH,665.8870766230272,"Asta, Carmelo",Castelfiorentino,Tuscany,Italy,Pesa la Zucca! Foiano,,,304.01326570675684,707.0317826012947,0.0,Prizewinner,1,302.04105085959213,medium
461,2014-P,533,1030.8241775954384,"Buechele, Franz",,Other,Austria,Austrian Weigh-off,1749 Hanschmann,1222 Wuersching,349.7569463812132,951.3271526975328,2.057428849522436,Cinderella,1,467.57360036387007,heavy
500,2021-P,1,2631.7928302811674,"Turmolli, Andrea",Peccioli,Tuscany,Italy,Campionato dello Zuccone,1885.5 Werner,Self,532.0755764244356,2727.991079089089,6.132386536181203,Howden,1,1193.7601734728953,heavy
564,2014-P,863,675.0852494005826,"Buechele, Franz",,Other,Austria,Austrian Weigh-off,934 Schieder,,303.8851888790882,737.1538687263629,0.0,Rouge Vif d’Etampes,1,306.21326844610905,medium
567,2021-P,602,889.4117165807264,"Aininger, Gerald",Riederberg,Vienna,Austria,Leiserberge Weigh-off,1126.6 Melka,2226.7 Boonen,,975.85130014678,0.0,Dill's Atlantic,1,403.43003934728483,medium
575,2018-P,998,658.7787286918998,"Kloch, Kevin",Dietersdorf,Lower Austria,Austria,Austrian Weigh-off,,,0.0,0.0,0.0,Champion,1,298.81676110481624,medium
596,2018-P,EXH,625.2095285137221,"Blaimschain, Karl",St. Michael,Carinthia,Austria,Austrian Weigh-off,1415 Melka,,,0.0,0.0,Autumn Gold,1,283.5900404575963,medium
603,2019-P,EXH,229.6440379711717,"Andrea, Anna e Pato, Turmolli",Sirtori,Lombardy,Italy,Sfida degli Zucconi della Brianza,"1257,7 Petrelli",Self,214.54406832217765,225.5296434949068,0.0,Connecticut Field,1,104.16469847141971,light
614,2021-P,1000,413.6824990476218,"Markl, Michael",Tulbing,Lower Austria,Austria,Retzer Land Weigh-off,421.1 Team Bauhof  20,self,267.13449428693133,466.6262247632241,0.0,Connecticut Field,1,187.64307210800885,light
629,2014-P,273,1205.644135395993,"Pennati, Federico",Arezzo,Other,Italy,Pesa la Zucca! Foiano,1874.5 Mathison,1625 Ganter,382.3660003469452,1290.310708401978,0.0,Atlantic Giant,1,546.8705346625393,heavy
659,2014-P,39,1637.2113159639437,"Rosati, Loris",Foiano della Chiana,Tuscany,Italy,Campionato dello Zuccone,2009 Wallace,1789 Wallace,441.4485265494007,1624.4138858485665,0.0,Rouge Vif d’Etampes,1,742.6259552307172,heavy
700,2017-P,1174,483.9230245850687,"Ferretti, Giulio",,Lombardy,Italy,Festa della zucca di sale,Cabanon,Cabanon,304.1674961298883,573.9211941590611,0.0,Howden,1,219.50361256759047,light
708,2014-P,273,1268.700038767492,"roberto, morettini",Pontedera,Other,Italy,Pesa la Zucca! Foiano,1874.5 Mathison,1625 Ganter,401.0059787763377,1252.972926417453,0.0,Cinderella,1,575.4721879846243,heavy
725,2015-P,468,1179.1383743169372,"., Fratelli Mori",Vimercate,Lombardy,Italy,Festa della zucca di sale,,,380.69588972218594,1120.2664025482527,6.858977383064362,Connecticut Field,1,534.8477334831682,heavy
732,2020-P,EXH,2001.2622812581017,"Cutrupi, Stefano",Valiano di Montepulciano,Tuscany,Italy,Campionato dello Zuccone,2226 Boonen,Self,439.9896366654646,1724.367894777965,6.946299847299726,Spirit,1,907.7565606804249,heavy
763,2021-P,242,1308.4042052578357,"Cassella, Salvatore",Malonno,Lombardy,Italy,Sfida Nazionale della Zucca - Club Maspiano,1542 URENA,1542 URENA,385.2859273674861,1345.9896020693695,1.016679692747564,Prizewinner,1,593.4816802713121,heavy
767,2019-P,664,923.2693843835082,"Rodler, Bernd",Riederberg,Lower Austria,Austria,Gartenbauschule Langenlois,2152 Gantner,self,363.9390560929147,1000.8190508565136,0.0,Big Max,1,418.7876066012842,medium
788,2013-P,58,1408.0631737699875,"Melka, Friedrich",,Lower Austria,Austria,Austrian Weigh-off,1382 Bryson,,404.1134810603995,1265.9988821336503,2.1554489212111725,Autumn Gold,1,638.6861911166761,heavy
812,2019-P,EXH,195.8470177113454,"Ferretti, Giulio",Sirtori,Lombardy,Italy,Sfida degli Zucconi della Brianza,"1257,7 Petrelli",Self,197.7167408361667,201.93932206756412,0.0,Spirit,1,88.83464045772457,light
813,2015-P,984,631.6487306645287,"Puchner, Ulrike",Haag am Hausruck,Upper Austria,Austria,Austrian Weigh-off,1033 Fischer 14,,318.2148276253978,858.5839439809225,0.0,Cinderella,1,286.5108110395849,medium
858,2013-P,1085,398.5544055955157,"Falchi, Brunero",,Other,Italy,Pesa la Zucca! Foiano,,,218.6671294791313,252.9982940915725,63.45839772380225,Atlantic Giant,1,180.78108994288115,light
908,2016-P,1218,449.4439367716741,"Kurzreiter, Lukas",Doerfles,Lower Austria,Austria,Austrian Weigh-off,1861.8 Cutrupi,,0.0,0.0,0.0,Champion,1,203.8641741681372,light
944,2014-P,995,602.8124598580409,"Reischer, JZB Kindergruppe",Gols,Burgenland,Austria,Austrian Weigh-off,,,287.23024526878766,553.1278655087048,4.975816735296859,Big Moose,1,273.4309092919285,medium
967,2013-P,1305,222.9356153400975,"Schieder, Christoph",,Other,Austria,Austrian Weigh-off,,,0.0,0.0,0.0,Big Moose,1,101.12181163334552,light
970,2018-P,656,828.9005862238598,"Scali, Guido",Reggio Emilia,Other,Italy,Pesa la Zucca! Foiano,,,328.1869262853949,905.2328553571868,1.007162374449052,Early Giant,1,375.982674706453,medium
978,2018-P,896,717.6333154172161,"Blaimschain, Karl",,Lower Austria,Austria,Austrian Weigh-off,,,338.01842841851885,859.6168719775369,0.0,Cinderella,1,325.51273080672587,medium
979,2019-P,EXH,628.3531389116172,"Marta, Gervasoni",Malonno,Lombardy,Italy,Sfida degli Zucconi della Brianza,2012 Salvagni,Self,303.54964670408987,608.5543064858504,7.825337941439589,Rouge Vif d’Etampes,1,285.0159569851983,medium
993,2014-P,830,761.7721657488315,"Herzog-Wittmann, Florian",Ernstbrunn,Lower Austria,Austria,Austrian Weigh-off,1474 Mathias,,327.7163630240846,896.3717123051306,0.0,Howden,1,345.53376020634397,medium
1023,2015-P,678,972.827770410826,"Marroni, Nazzareno",,Other,Italy,Festa della zucca di sale,,,360.4881710055076,1013.3331422273184,0.0,Casper,1,441.2668940361874,medium
1032,2014-P,959,701.075243669757,"Joebstl, Horst",,Other,Austria,Austrian Weigh-off,934 Schieder,,310.11254932199233,704.6097702788111,3.0003135430413908,Blue Hubbard,1,318.0021219266524,medium
1036,2019-P,EXH,1022.1952959374524,"Giustarini, Vinicio",Castiglion Fiorentino,Tuscany,Italy,Pesa la Zucca! Foiano,,,317.5477675062152,733.3186854833675,35.00387972974083,Casper,1,463.6596086748609,heavy
1040,2013-P,421,944.648208012984,"., Francesco",Foiano della Chiana,Other,Italy,Pesa la Zucca! Foiano,1690 Maier,open,378.9456440471645,1145.6917103012586,0.0,Dill's Atlantic,1,428.48486996902545,medium
1047,2017-P,DMG,331.67752360741514,"Giustarini, Vinicio",Foiano della Chiana,Tuscany,Italy,Campionato dello Zuccone,1521 Cutrupi,Open,239.62194564925383,350.50322425326806,0.0,Cinderella,1,150.44627128813465,light
1067,2014-P,1040,596.4225611886901,"Freyberger, Dmytro",Dietersdorf,Lower Austria,Austria,Austrian Weigh-off,,,304.3952165035516,659.8262713225539,0.0,Big Moose,1,270.5325023747003,medium
1090,2018-P,1647,131.88172415991184,"Puchner, Thomas",Riederberg,Vienna,Austria,Austrian Weigh-off,,open,0.0,0.0,0.0,Early Giant,1,59.82049502514273,light
1133,2016-P,EXH,724.3612630766203,"Hoefler, Norbert",Schiltern,Lower Austria,Austria,Austrian Weigh-off,1975 Wallace,1985 Miller,348.41673896557813,795.8851838123819,0.0,Atlantic Giant,1,328.56447404145035,medium
1135,2018-P,EXH,559.8565262790862,"Prandi, Giuseppe",,Tuscany,Italy,Pesa la Zucca! Foiano,,,278.24529877514766,669.0396153975196,0.0,Prizewinner,1,253.94644146798328,medium
1163,2015-P,EXH,390.3977714108307,"Tosoni, Matteo",Dragoni,Campania,Italy,Campionato dello Zuccone,1692 McMullen,Self,0.0,0.0,0.0,Blue Hubbard,1,177.08130592978154,light
1169,2016-P,948,681.2974659177894,"Blaimschain, Karl",St. Michael,Carinthia,Austria,Austrian Weigh-off,2020 Werner,,316.9940815000598,682.284694107157,0.0,Big Max,1,309.03108016058195,medium
1223,2021-P,EXH,992.502119335434,"Bertone, Andrea",Semproniano,Tuscany,Italy,Campionato dello Zuccone,2350 Gienger,2552 Mendi,370.3484026662641,1039.1762446904113,0.0,Wolf,1,450.1910213135982,medium
1234,2020-P,711,748.399477756832,Vincenzo Italiano,Terricciola,Tuscany,Italy,Campionato dello Zuccone,923.7 Asta,Open,324.0987633368382,825.8181674045524,0.0,Champion,1,339.4680159146769,medium
1238,2013-P,1341,209.5399710853125,"Comanducci, .",Capraia e Limite,Other,Italy,Pesa la Zucca! Foiano,,,211.7833914766952,212.33127976230125,0.0,Big Max,1,95.04565456452906,light
1250,2014-P,830,734.6181163337374,"Schieder, Christoph",Baerndorf,Lower Austria,Austria,Austrian Weigh-off,1474 Mathias,,332.95667669673804,819.9400092941086,0.0,Casper,1,333.2169006240526,medium
1266,2015-P,1755,78.97153861444741,"Markl, Michael",Berndorf,Other,Austria,Austrian Weigh-off,,,0.0,0.0,0.0,Atlantic Giant,1,35.82085814320443,light
1274,2018-P,1408,299.80232112178527,"Pezza, Davide",Goito,Lombardy,Italy,Sfida degli Zucconi della Brianza,,,224.0499190982192,268.39360366270347,15.805880755625644,Spirit,1,135.98793444227283,light
1344,2019-P,EXH,196.37956744157717,"Tosoni, Matteo",Godiasco,Lombardy,Italy,Sfida degli Zucconi della Brianza,"1257,7 Petrelli",Self,210.256914070127,203.2630054523976,0.0,Howden,1,89.07620075495987,light
1350,2018-P,EXH,658.0078777666056,"Melka, Friedrich",St. Margarethen,Carinthia,Austria,Austrian Weigh-off,1415 Melka,,0.0,0.0,0.0,Prizewinner,1,298.46710929191016,medium
1363,2015-P,1454,320.50318001914,"Unger, Michael",,Other,Austria,Austrian Weigh-off,716 Team Biggis 12,,0.0,0.0,0.0,Connecticut Field,1,145.37767843124175,light
1373,2018-P,575,1005.166799703686,"Melka, Friedrich",Tulln,Lower Austria,Austria,Austrian Weigh-off,1080.9 Melka,2145 McMullen,336.67711565526787,914.0943233780844,1.999177263059417,Prizewinner,1,455.9356190111943,heavy
1384,2015-P,331,1181.9133368472994,"Sant'Antonio, Istituto",Arezzo,Other,Italy,Festa della zucca di sale,,,376.0306604689827,1077.782433709718,17.022689662203486,Casper,1,536.1064342872403,heavy
1422,2014-P,1591,159.33420891250637,"Inzillo, Pasquale",Foiano della Chiana,Other,Italy,Campionato dello Zuccone,952 Bartoli,Open,195.1731288872294,206.18318750050184,0.0,Spirit,1,72.27272248904158,light
1423,2017-P,1124,473.69264575527,"Squitieri, Danilo",Marone,Lombardy,Italy,Sfida degli Zucconi della Brianza,"1790,5 Wallace",self,271.8884217168128,447.8859823305101,3.9642154401040015,Champion,1,214.86319457342444,light
1428,2014-P,1439,306.27898394325445,"Kreuzspiegl, Thomas",St. Margarethen,Carinthia,Austria,Austrian Weigh-off,,,0.0,0.0,,Cinderella,1,138.92569688478866,light
1435,2020-P,1220,218.01216157219463,"Milani, Joele",Marone,Lombardy,Italy,Sfida degli Zucconi della Brianza,"1997,4 BOONEN HERMAN",self,217.14905101197112,216.5166115459954,2.0149443728242424,Early Giant,1,98.88857239185491,light
1436,2015-P,1125,613.3608836824113,"Deri , Giacomo",,Other,Italy,Pesa la Zucca! Foiano,,,312.44877711956843,587.0832307674319,0.0,Autumn Gold,1,278.2155899512723,medium
1437,2014-P,370,1063.3522960827854,"Kittenberger, Christian",Bad Voeslau,Lower Austria,Austria,Austrian Weigh-off,1222 Wuersching,1749 Hanschmann,375.56654200231367,1103.446048592608,0.0,Atlantic Giant,1,482.3280946847828,heavy
1452,2017-P,1500,134.6354396978912,"Zecchini, Fernando",Casatenovo,Lombardy,Italy,Festa della zucca di sale,unknow,unknow,178.87786643975883,129.06910551931873,9.641649921639164,Jack O'Lantern,1,61.069558363445864,light
1491,2014-P,773,792.9337208764168,"Puchner, Ulrike",Pruggern,Styria,Austria,Austrian Weigh-off,934 Schieder,,335.9511343382011,769.4392883258935,2.015049388682893,Champion,1,359.66839231977565,medium
1499,2016-P,243,1356.2538812794971,"Melka, Friedrich",,Lower Austria,Austria,Austrian Weigh-off,1338 Martin,1575.5 Werner,397.4387130245894,1291.0101111053718,0.0,Rouge Vif d’Etampes,1,615.1859105173296,heavy
1541,2021-P,1157,241.96567234884628,"Andreoli, Gianfranco",Poggiridenti,Lombardy,Italy,Sfida Nazionale della Zucca - Club Maspiano,2008 CUTRUPI,BARESI,212.1852265210793,251.4218900862912,4.931325074292731,Atlantic Giant,1,109.75369325205789,light
1542,2018-P,450,1158.1434907835262,"Brandstetter, Hannes",Wien,Vienna,Austria,Slovenian Weigh-off,2145 McMullen,2269 Paton,392.5306889463883,,0.0,Howden,1,525.3246222714812,heavy
1557,2013-P,1106,376.5414948079769,"Boschi, Valerio",Artogne,Other,Italy,Festa della zucca di sale,,,249.7067701208523,346.36199360415424,8.900858687282334,Howden,1,170.79620971293986,light
1562,2020-P,873,588.2922865867597,"Kurzreiter, Lukas",Neustift,Styria,Austria,Austrian Weigh-off,Melka,,299.62678369207225,582.2152659229213,3.983373182757477,Dill's Atlantic,1,266.8446748574615,medium
1590,2021-P,700,776.752884699153,"Puchner, Thomas",Wien,Vienna,Austria,Tharinger Meisterschaft,2139 Skonager,2139 Skonager,356.87781541296295,996.1435631800482,0.0,Wolf,1,352.32889447645823,medium
1596,2018-P,1727,53.98815104651061,"Rodler, Rita",,Other,Austria,Austrian Weigh-off,31 Teichmann 17 UOW,,0.0,0.0,0.0,Blue Hubbard,1,24.48859340948884,light
1628,2018-P,691,867.8590032421919,"Hoefler, Norbert",Retz,Lower Austria,Austria,Europameisterschaft im Kurbiswiegen,2269 Paton,2145 McMullen,352.7085071460383,882.5858924860637,0.0,Big Moose,1,393.6539009986323,medium
1663,2017-P,1321,291.1995607811844,"Benedikt, Gottfried",Riederberg,Lower Austria,Austria,Austrian Weigh-off,Clementz,,0.0,0.0,0.0,Big Moose,1,132.085791173859,light
1666,2021-P,501,972.387089643186,"Arrigucci, Gabriele",Calcio,Lombardy,Italy,Sfida degli Zucconi della Brianza,,Self,376.8666934803974,1134.574720628367,0.0,Early Giant,1,441.067004765432,medium
1672,2019-P,881,634.9844196546044,"Reischer, JZB Kindergruppe",Retz,Lower Austria,Austria,Austrian Weigh-off,2043 Clementz,1527.5 Melka,313.82516902009934,740.5437742398959,0.0,Connecticut Field,1,288.0238528799713,medium
1683,2015-P,502,1082.666756154446,"Puchner, Thomas",,Other,Austria,Austrian Weigh-off,1033 Fischer 14,,387.0410342323802,1231.5645553131667,0.0,Prizewinner,1,491.08897925760743,heavy
1697,2020-P,424,1130.7163680936962,"Gangl, Markus",Retz,Lower Austria,Austria,Europameisterschaft im Kurbiswiegen,1527 Melka,,370.7825219353343,1072.462625672378,3.981200916483993,Early Giant,1,512.8838988363559,heavy
1718,2015-P,EXH,283.5502183171566,"Unger, Michael",,Vienna,Austria,Austrian Weigh-off,1751 Lovse 14,,0.0,0.0,0.0,Casper,1,128.61611062691568,light
1731,2013-P,394,936.1947395791578,"Jaglarz, Maximilian",Tulln,Lower Austria,Austria,Austrian Weigh-off,934 Schieder 11,1325 Sperry 11,340.19029407957464,875.4710478015925,1.9567322378015604,Early Giant,1,424.65044431518936,medium
1747,2017-P,EXH,631.1686775757205,"Melka, Friedrich",St. Margarethen,Carinthia,Austria,Austrian Weigh-off,Werner,,307.64346384799194,,0.0,Connecticut Field,1,286.2930627989262,medium
1750,2013-P,1230,278.23639300339306,"Tschida, Josef",,Other,Austria,Austrian Weigh-off,,,0.0,0.0,0.0,Dill's Atlantic,1,126.20580197519506,light
1794,2017-P,1124,475.43165884060886,"Vendepane, Giulio",Malonno,Lombardy,Italy,Sfida degli Zucconi della Brianza,"1790,5 Wallace",self,267.7447117918157,433.85002865415055,4.010658936592125,Dill's Atlantic,1,215.65199699682944,light
1798,2018-P,223,1396.6986227569946,"Bartoli, Ivan",Sale Marasino,Lombardy,Italy,Sfida degli Zucconi della Brianza,1928 Daletas,1810 Werner,396.8614449739396,1346.8410677071424,1.0701990921233415,Cinderella,1,633.5313216935907,heavy
1805,2015-P,1563,222.09520008147152,"Boschi, Valerio",Arezzo,Other,Italy,Campionato dello Zuccone,1254 Bartoli,Open,217.2041399563384,249.6267677224266,0.0,Prizewinner,1,100.74060599535483,light
1806,2016-P,945,610.5343900244428,"Joebstl, Horst",Langenlois,Lower Austria,Austria,Austrian Weigh-off,1790 Wallace,self,312.9295400748271,687.4020447113597,0.0,Casper,1,276.93351503996706,medium
1811,2018-P,1408,333.3427988274349,"Moretti, Sergio",Poggiridenti,Lombardy,Italy,Sfida degli Zucconi della Brianza,,,240.2775307136522,293.13930166857267,15.923896544525588,Jack O'Lantern,1,151.20162680573384,light
1837,2018-P,542,995.7952923759624,"Schieder, Christoph",Riederberg,Vienna,Austria,Tharinger Meisterschaft,2095 Willemijns,2145 MC Mullen,360.8123077476443,1145.1142828067032,0.0,Rouge Vif d’Etampes,1,451.68477825939755,medium
1848,2013-P,73,1478.3656226783532,"Moranda, Laura",Buja,Other,Italy,Festa della zucca di sale,,1789 Wallace,417.3286509889393,1510.6158839725144,0.9628842535830432,Jack O'Lantern,1,670.5748195219196,heavy
1885,2016-P,DMG,1402.257762576975,"Asta, Carmelo",Novellara,Emilia-Romagna,Italy,Campionato dello Zuccone,2017 Martin,open,412.6227849845355,1329.5501484034758,8.584427248859559,Jack O'Lantern,1,636.0529030428153,heavy
1887,2013-P,969,480.8061329852766,"., Fratelli Mori",Gallignano,Other,Italy,Festa della zucca di sale,,,267.076406285793,459.3173041374927,8.335616786553768,Big Moose,1,218.08981547305757,light
1890,2019-P,1567,144.36556913287566,"Angelo e Giovanni, Az. Agr.",Novellara,Emilia-Romagna,Italy,Campionato dello Zuccone,165 Wild,Open,0.0,0.0,0.0,Autumn Gold,1,65.48306723411933,light
1901,2019-P,358,1179.5589286600753,"Valentini, Maurizio",Garlate,Lombardy,Italy,Sfida degli Zucconi della Brianza,2012 Salvagni,Self,374.4868018382157,1231.174713276323,0.0,Jack O'Lantern,1,535.0384935687808,heavy
1904,2016-P,1373,316.2900339132585,"Romoli, Giorgia Syria",Foiano della Chiana,Tuscany,Italy,Campionato dello Zuccone,,,242.0236354207688,289.3063073410989,6.956818032350695,Atlantic Giant,1,143.46662906278277,light
1905,2020-P,EXH,422.2660292352365,"Zanotti, Walter",Terricciola,Tuscany,Italy,Pesa la Zucca! Foiano,,,261.6996895759424,420.9957894909781,0.0,Rouge Vif d’Etampes,1,191.5364927328694,light
1907,2019-P,970,536.5514624629501,"Melka, Friedrich",Schiltern,Lower Austria,Austria,Austrian Weigh-off,1311.1 Mathias 17,sibb,319.8806848001991,682.5439520737538,0.0,Prizewinner,1,243.37545096149447,medium
1933,2016-P,DMG,1307.9814669675186,"Italiano, Vincenzo",Novellara,Emilia-Romagna,Italy,Campionato dello Zuccone,2017 Martin,open,385.0039700027161,1257.9590888335306,9.19410480220854,Atlantic Giant,1,593.2899295647306,heavy
1944,2013-P,EXH,834.4740774238508,Team Schaugarten Kittenberger Erlebnisgaertnen,,Lower Austria,Austria,Austrian Weigh-off,1325 Sperry 11,934 Schieder 11,339.95788685861123,780.7187405098072,11.364331618760293,Early Giant,1,378.5107657268393,medium
1948,2016-P,1553,147.83485390793072,"Melka, Friedrich",Berndorf,Lower Austria,Austria,Austrian Weigh-off,"150,1 ThumfortM 15",78 ThumfortD 15,0.0,0.0,0.0,Spirit,1,67.05670705380611,light
1961,2017-P,1436,226.3597933146193,"Secco, Davide",,Lombardy,Italy,Sfida degli Zucconi della Brianza,unknow,unknow,218.40433626363028,204.717247467018,6.049726822516747,Blue Hubbard,1,102.6749913691648,light
1975,2021-P,131,1459.2669564679145,"Agnelli, Vasco",Poggiridenti,Lombardy,Italy,Sfida Nazionale della Zucca - Club Maspiano,727 GAROFANO,727 GAROFANO,396.7329123562316,1487.4015511908287,1.97273309384797,Early Giant,1,661.9118173181943,heavy
1979,2019-P,1359,277.1951274361492,"Team, Bauhof Tulln",Tulln,Lower Austria,Austria,Gartenbauschule Langenlois,Blaimschein 2017,,240.08551154659185,282.348070307583,0.0,Early Giant,1,125.7334922440178,light
1983,2013-P,1155,315.3462336041171,"Spreafico, Luca",Arezzo,Other,Italy,Campionato dello Zuccone,,Open,0.0,0.0,0.0,Wolf,1,143.0385287929587,light
2012,2017-P,1260,337.32039055038416,"Marino, Paoloni",Foiano della Chiana,Tuscany,Italy,Campionato dello Zuccone,,,267.25431227578247,358.4733863216412,0.0,Prizewinner,1,153.00583059052985,light
2021,2021-P,100,1637.5993131942805,"Team, Bauhof Tulln",,Lower Austria,Austria,Leiserberge Weigh-off,2226.7 Boonen,1911 Urena,428.3636120429668,1715.7233718173188,0.0,Champion,1,742.8019476704201,heavy
2027,2014-P,1298,369.7392017303172,"Melka, Friedrich",,Other,Austria,Austrian Weigh-off,,,0.0,0.0,0.0,Early Giant,1,167.71074399125803,light
2033,2015-P,1164,565.3388431870048,"Migliorini, Roberto",,Other,Italy,Pesa la Zucca! Foiano,,,283.63612064071003,514.9140240046098,9.99348536458205,Blue Hubbard,1,256.4331765588799,medium
2054,2016-P,1386,280.97389035031154,"Prandi, Giuseppe",Merate,Lombardy,Italy,Festa della zucca di sale,,,218.26024534063072,273.3679232277965,8.244315466440032,Champion,1,127.44750887177851,light
2062,2018-P,920,724.9322012683575,"Aininger, Gerald",Tulln,Lower Austria,Austria,Austrian Weigh-off,1080.9 Melka,,0.0,0.0,0.0,Casper,1,328.82344703771685,medium
2066,2016-P,1553,141.73024641599594,"Melka, Friedrich",Hofkirchen,Lower Austria,Austria,Austrian Weigh-off,"150,1 ThumfortM 15",78 ThumfortD 15,0.0,0.0,0.0,Rouge Vif d’Etampes,1,64.28770593232443,light
